BE5613,34162.38
YR3217,31967.88
YR8837,30779.28
BE1054,30394.98
YR4098,30150.54
YR6068,29478.54
BE5092,29460.06
YR8129,29192.52
YR8558,29048.88
YR5190,28757.82
BE2494,28674.24
BE4797,28195.02
YR5698,27863.22
YR6095,27727.98
BE9667,27317.22
BE9002,27198.78
OJ5085,27147.60
BE3466,27008.94
XV5324,26901.00
GQ5324,26901.00
BE9628,26708.64
BE3513,26553.66
BE3684,26425.98
OJ2536,26117.64
XV1054,26052.84
BE2612,25450.74
BE9451,25438.14
XV4868,25195.32
OJ5865,25185.60
BE2889,24941.70
OJ9992,24917.76
OJ8558,24899.04
GQ8275,24732.00
XV6314,24545.88
YR2955,24517.08
BE6167,24480.96
XV3949,24351.12
XV7687,24312.24
GQ9387,24218.28
YR6083,24168.90
XV4797,24167.16
OJ9732,24145.20
BE5386,24021.90
GQ9568,23976.72
XV9568,23976.72
OJ1343,23793.48
GQ1780,23782.68
XV1780,23782.68
GQ6095,23766.84
YR7220,23762.76
YR4226,23730.42
YR7896,23674.14
OJ4468,23583.96
GQ6177,23160.24
XV6177,23160.24
XV7397,23101.56
OJ9269,22699.80
YR4165,22641.78
BE9225,22579.62
OJ7306,22566.60
BE6693,22527.54
XV4304,22521.60
BE3766,22499.82
YR5986,22496.88
GQ5488,22403.88
XV5488,22403.88
YR5005,22105.44
OJ3183,21964.32
OJ9922,21951.72
XV9784,21885.12
GQ9784,21885.12
XV8531,21709.80
GQ8531,21709.80
XV7785,21645.36
GQ7785,21645.36
YR4591,21616.98
XV2889,21378.60
GQ4721,21359.52
XV4721,21359.52
XV4211,21261.96
GQ4211,21261.96
OJ7592,21214.08
BE5249,21210.84
YR1475,21040.32
OJ2955,21014.64
XV8391,20980.44
GQ8391,20980.44
GQ8870,20611.08
XV8870,20611.08
OJ4886,20565.72
XV7837,20333.52
GQ8207,20300.76
GQ7896,20292.12
XV6365,20268.00
XV1461,20140.92
GQ1461,20140.92
OJ6529,19770.84
OJ3977,19737.00
XV2163,19705.32
GQ2163,19705.32
YR1845,19409.88
XV6693,19309.32
XV3766,19285.56
XV4758,19194.12
XV3375,18993.60
XV3360,18968.76
GQ3360,18968.76
OJ5005,18947.52
GQ3106,18798.48
GQ3700,18795.96
OJ9422,18570.60
BE4691,18420.78
GQ4201,18375.84
YR1632,18219.60
XV5249,18180.72
YR1393,18158.70
YR8834,17957.94
GQ3170,17956.08
YR8867,17604.30
BE8164,17487.12
YR2692,17372.46
YR8473,17340.12
YR4368,17229.24
BE7495,17189.34
YR5253,17115.42
XV7388,16821.72
GQ7388,16821.72
OJ5020,16802.64
BE1377,16477.02
YR8737,16211.16
BE2437,16043.16
GQ5000,15996.60
XV5000,15996.60
OJ2470,15940.44
XV3613,15916.32
BE7565,15642.90
YR8930,15635.76
OJ1393,15564.60
XV7679,15494.40
GQ7679,15494.40
OJ8445,15440.76
BE4659,15112.86
OJ1674,15104.16
OJ8867,15089.40
BE1512,15089.34
OJ2461,15035.40
GQ3587,14936.76
YR6219,14768.46
GQ4368,14767.92
GQ1372,14654.52
OJ2039,14503.32
XV2437,13751.28
OJ8079,13547.88
GQ9524,12995.64
OJ8807,11576.16
